sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1939.SKBTI.0216	79363	74694	94.12	74571	71814	90.49
1939.SKBTI.0217	26852	25603	95.35	25571	25193	93.82
1939.SKBTI.0218	76323	72528	95.03	72402	70268	92.07
1939.SKBTI.0219	97587	93023	95.32	92915	88996	91.2
1939.SKBTI.0220	18182	17396	95.68	17362	17150	94.32
1939.SKBTI.0221	15079	14549	96.49	14536	14300	94.83
1939.SKBTI.0222	2181	2096	96.1	2084	2078	95.28
1939.SKBTI.0223.a	70850	62230	87.83	62124	61715	87.11
1939.SKBTI.0223.b	6890	6419	93.16	6409	6353	92.21
1939.SKBTI.0224	2719	2430	89.37	2414	2347	86.32
1939.SKBTI.0226.a	55343	49533	89.5	49461	48828	88.23
1939.SKBTI.0226.b	10711	10184	95.08	10171	9996	93.32
1939.SKBTI.0227.a	42799	40308	94.18	40236	39743	92.86
1939.SKBTI.0227.b	11565	11049	95.54	11035	10991	95.04
1939.SKBTI.0228.a	30673	27771	90.54	27734	26819	87.44
1939.SKBTI.0228.b	18567	17358	93.49	17312	16482	88.77
1939.SKBTI.0229	1296	1237	95.45	1226	1158	89.35
1939.SKBTI.0230.a	30963	28776	92.94	28724	28392	91.7
1939.SKBTI.0230.b	13138	12537	95.43	12533	12372	94.17
1939.SKBTI.0231	55370	52197	94.27	52118	50879	91.89
1939.SKBTI.0232	84582	78451	92.75	78355	77572	91.71
1939.SKBTI.0233	38808	36826	94.89	36800	36497	94.05
1939.SKBTI.0234	38793	36248	93.44	36146	35323	91.06
1939.SKBTI.0235	21965	21132	96.21	21082	20908	95.19
1939.SKBTI.0236	43455	41630	95.8	41591	37869	87.15
1939.SKBTI.0237	41589	39262	94.4	39208	38621	92.86
1939.SKBTI.0238	60848	58071	95.44	57931	53687	88.23
1939.SKBTI.0239	27659	26103	94.37	26076	25640	92.7
1939.SKBTI.0240	34928	31577	90.41	31538	30046	86.02
1939.SKBTI.0241	26305	25017	95.1	24980	24107	91.64
1939.SKBTI.0242	38455	36095	93.86	36056	33854	88.04
1939.SKBTI.0243	3830	3607	94.18	3593	3581	93.5
1939.SKBTI.0244.a	203447	184302	90.59	184122	182329	89.62
1939.SKBTI.0244.b	19509	18297	93.79	18271	18097	92.76
1939.SKBTI.0245.a	125909	115416	91.67	115213	92981	73.85
1939.SKBTI.0245.b	20424	19484	95.4	19468	14647	71.71
1939.SKBTI.0246.a	125987	111133	88.21	110953	110768	87.92
1939.SKBTI.0246.b	11825	11024	93.23	11004	10982	92.87
1939.SKBTI.0247	29770	28833	96.85	28804	28778	96.67
1939.SKBTI.0248	79637	75365	94.64	75263	73130	91.83
1939.SKBTI.0249	47750	45969	96.27	45915	44273	92.72
1939.SKBTI.0250.a	263803	243162	92.18	243009	216556	82.09
1939.SKBTI.0250.b	23696	22356	94.35	22312	20817	87.85
1939.SKBTI.0251	75531	71610	94.81	71493	66747	88.37
1939.SKBTI.0252	43917	40830	92.97	40786	39705	90.41
1939.SKBTI.0253.a	37552	34003	90.55	33934	32425	86.35
1939.SKBTI.0253.b	24906	23289	93.51	23244	22006	88.36
1939.SKBTI.0254.a	57287	51710	90.26	51590	49022	85.57
1939.SKBTI.0254.b	29332	27601	94.1	27555	26337	89.79
1939.SKBTI.0255.a	50439	47602	94.38	47558	45932	91.06
1939.SKBTI.0255.b	2382	2276	95.55	2260	2244	94.21
1939.SKBTI.0256.a	38343	35179	91.75	35101	33978	88.62
1939.SKBTI.0256.b	14125	13450	95.22	13423	13162	93.18
1939.SKBTI.0257	75782	71029	93.73	70967	68532	90.43
1939.SKBTI.0258	101686	96909	95.3	96729	67054	65.94
1939.SKBTI.0259	36716	35375	96.35	35297	34300	93.42
1939.SKBTI.0260	72247	68381	94.65	68220	65137	90.16
1939.SKBTI.0261.a	63779	62097	97.36	61917	60938	95.55
1939.SKBTI.0261.b	3304	3180	96.25	3166	3022	91.46
1939.SKBTI.0262.a	54291	49012	90.28	48962	48312	88.99
1939.SKBTI.0262.b	31036	29245	94.23	29212	28934	93.23
1939.SKBTI.0263	31786	29870	93.97	29828	29169	91.77
1939.SKBTI.0264.a	38093	36185	94.99	36144	34125	89.58
1939.SKBTI.0264.b	14028	13512	96.32	13480	12855	91.64
1939.SKBTI.0265.a	38589	37389	96.89	37365	37176	96.34
1939.SKBTI.0265.b	7031	6609	94	6572	6542	93.05
1939.SKBTI.0266	31296	29856	95.4	29814	28965	92.55
1939.SKBTI.0267	58672	54762	93.34	54647	54321	92.58
1939.SKBTI.0268	46405	45094	97.17	44993	43877	94.55
1939.SKBTI.0269	38588	36910	95.65	36859	35035	90.79
1939.SKBTI.0270	44767	42273	94.43	42231	41368	92.41
1939.SKBTI.0271.a	66875	63371	94.76	63266	59605	89.13
1939.SKBTI.0271.b	7565	7122	94.14	7101	6564	86.77
1939.SKBTI.0272.a	143334	132404	92.37	132148	129784	90.55
1939.SKBTI.0272.b	23907	22176	92.76	22124	21680	90.68
1939.SKBTI.0273	26039	24246	93.11	24214	23910	91.82
1939.SKBTI.0274.a	315076	301385	95.65	300854	269233	85.45
1939.SKBTI.0274.b	20737	19919	96.06	19886	18807	90.69
1939.SKBTI.0275.a	215720	205221	95.13	204942	202390	93.82
1939.SKBTI.0275.b	21103	19953	94.55	19935	19906	94.33
1939.SKBTI.0276	33930	32196	94.89	32173	31944	94.15
1939.SKBTI.0277.a	158978	148881	93.65	148738	145218	91.34
1939.SKBTI.0277.b	19568	18660	95.36	18634	18070	92.34
1939.SKBTI.0278	71608	67828	94.72	67737	64069	89.47
1939.SKBTI.0279	31942	30420	95.24	30364	30062	94.11
1939.SKBTI.0280	15005	14397	95.95	14372	13904	92.66
1939.SKBTI.0281	33858	31983	94.46	31906	31487	93
1939.SKBTI.0282.a	25293	23312	92.17	23279	22887	90.49
1939.SKBTI.0282.b	14089	13439	95.39	13412	13257	94.09
1939.SKBTI.0283	30632	29121	95.07	29072	27814	90.8
1939.SKBTI.0284	57104	53779	94.18	53709	51873	90.84
1939.SKBTI.0285	61288	56515	92.21	56462	55710	90.9
1939.SKBTI.0286	42089	39812	94.59	39755	38718	91.99
1939.SKBTI.0287	584072	541037	92.63	540199	533347	91.32
1939.SKBTI.0298	50848	47502	93.42	47368	44683	87.88
1939.SKBTI.0301	122427	113007	92.31	112780	109398	89.36
1939.SKBTI.0304	42695	39793	93.2	39691	37809	88.56
1939.SKBTI.0311	53347	50400	94.48	50303	46614	87.38
1939.SKBTI.0313	66071	62384	94.42	62290	60795	92.01
1939.SKBTI.0333	22869	21049	92.04	21013	20638	90.24
1939.SKBTI.0362	129507	123026	95	122734	105842	81.73
1939.SKBTI.0363	84874	79244	93.37	79100	77056	90.79
1939.SKBTI.0391	8724	8186	93.83	8143	7982	91.49
1939.SKBTI.0392	19966	18498	92.65	18463	17477	87.53
1939.SKBTI.0395	8686	8176	94.13	8154	7978	91.85
1939.SKBTI.0411	14034	13017	92.75	12985	12626	89.97
1939.SKBTI.0422	6614	6058	91.59	6036	6031	91.19
1939.SKBTI.0481	9996	9848	98.52	9819	9751	97.55
1939.SKBTI.0482	39783	38720	97.33	38683	37198	93.5
1939.SKBTI.0483	14504	14251	98.26	14235	13192	90.95
1939.SKBTI.0484	13045	12703	97.38	12685	12353	94.7
1939.SKBTI.0485	21221	20425	96.25	20363	19621	92.46
1939.SKBTI.0486	39214	38263	97.57	38220	34241	87.32
1939.SKBTI.0487	52289	51217	97.95	51107	49080	93.86
1939.SKBTI.0488	29612	29187	98.56	29139	28682	96.86
1939.SKBTI.0489	18804	18520	98.49	18497	18188	96.72
1939.SKBTI.0490	23898	23158	96.9	23136	22767	95.27
1939.SKBTI.0491	9516	9319	97.93	9311	9211	96.79
1939.SKBTI.0492	7139	6966	97.58	6920	6741	94.42
1939.SKBTI.0493	32181	31247	97.1	31220	30426	94.55
1939.SKBTI.0494	13288	13070	98.36	13053	12734	95.83
1939.SKBTI.0495	1342	1336	99.55	1328	912	67.96
1939.SKBTI.0496	6568	6437	98.01	6432	6268	95.43
1939.SKBTI.0497	32407	31949	98.59	31907	27737	85.59
1939.SKBTI.0498	16593	16186	97.55	16165	16077	96.89
1939.SKBTI.0499	27557	26957	97.82	26938	26745	97.05
1939.SKBTI.0500	6060	5508	90.89	5478	5383	88.83
1939.SKBTI.0503	15538	14875	95.73	14848	14445	92.97
1939.SKBTI.0504	62511	61214	97.93	61124	59096	94.54
1939.SKBTI.0505	8700	8528	98.02	8482	8207	94.33
1939.SKBTI.0506	8052	7906	98.19	7889	7641	94.9
1939.SKBTI.0507	11864	11581	97.61	11564	11373	95.86
1939.SKBTI.0508	15949	15696	98.41	15672	15609	97.87
1939.SKBTI.0510	23451	22734	96.94	22708	20554	87.65
1939.SKBTI.0511	14131	13593	96.19	13554	12529	88.66
1939.SKBTI.0512	21215	20569	96.95	20492	19786	93.26
1939.SKBTI.0513	20525	19870	96.81	19832	17926	87.34
1939.SKBTI.0514	10449	10212	97.73	10193	9559	91.48
1939.SKBTI.0515	14675	14357	97.83	14344	14171	96.57
1939.SKBTI.0516	33414	32653	97.72	32626	32146	96.21
1939.SKBTI.0517	10600	10247	96.67	10226	9431	88.97
1939.SKBTI.0518	8572	8404	98.04	8388	8386	97.83
1939.SKBTI.0519	6109	5987	98	5969	5965	97.64
1939.SKBTI.0520	11613	11443	98.54	11404	11300	97.3
1939.SKBTI.0521	20481	20186	98.56	20167	19571	95.56
1939.SKBTI.0522	97143	95211	98.01	95095	86794	89.35
1939.SKBTI.0523	37362	36783	98.45	36705	35155	94.09
1939.SKBTI.0524	15269	14928	97.77	14901	14541	95.23
1939.SKBTI.0525	4313	3879	89.94	3836	3575	82.89
1939.SKBTI.0526	8876	8673	97.71	8657	8646	97.41
1939.SKBTI.0527	8900	8629	96.96	8606	8381	94.17
1939.SKBTI.0528	7375	7206	97.71	7189	6718	91.09
1939.SKBTI.0529	7520	7154	95.13	7130	7015	93.28
1939.SKBTI.0530	45602	44441	97.45	44394	42678	93.59
1939.SKBTI.0531	19642	19241	97.96	19221	19066	97.07
1939.SKBTI.0532	10484	10227	97.55	10177	10048	95.84
1939.SKBTI.0533	86185	84008	97.47	83848	78009	90.51
1939.SKBTI.0534	33757	33099	98.05	33056	32149	95.24
1939.SKBTI.0536	17632	17206	97.58	17179	16238	92.09
1939.SKBTI.0537	21131	20652	97.73	20628	20040	94.84
1939.SKBTI.0538	9594	9381	97.78	9371	9277	96.7
1939.SKBTI.0539	57321	56214	98.07	56139	42011	73.29
1939.SKBTI.0540	13944	13558	97.23	13531	12443	89.24
1939.SKBTI.0541	17604	17224	97.84	17199	16761	95.21
1939.SKBTI.0542	8648	8459	97.81	8444	8330	96.32
1939.SKBTI.0543	18667	18448	98.83	18406	17852	95.63
1939.SKBTI.0544	68066	66439	97.61	66347	58558	86.03
1939.SKBTI.0545	3523	3465	98.35	3450	3421	97.1
1939.SKBTI.0546	15916	15563	97.78	15539	14795	92.96
1939.SKBTI.0547	1632	1616	99.02	1602	1588	97.3
1939.SKBTI.0548	4868	4728	97.12	4712	4612	94.74
1939.SKBTI.0549	48667	47818	98.26	47626	39761	81.7
1939.SKBTI.0550	13179	12931	98.12	12904	12400	94.09
1939.SKBTI.0551	41194	39994	97.09	39945	39041	94.77
1939.SKBTI.0552	16078	15689	97.58	15668	15615	97.12
1939.SKBTI.0554	7687	7496	97.52	7463	6587	85.69
1939.SKBTI.0555	8917	8730	97.9	8715	8341	93.54
1939.SKBTI.0556	32483	31729	97.68	31689	31011	95.47
1939.SKBTI.0557	2221	2196	98.87	2190	2164	97.43
1939.SKBTI.0558	11328	10997	97.08	10989	9928	87.64
1939.SKBTI.0559	6467	6349	98.18	6323	6286	97.2
1939.SKBTI.0560	6897	6751	97.88	6740	6496	94.19
1939.SKBTI.0561	6095	6007	98.56	5995	5980	98.11
1939.SKBTI.0562	55915	54635	97.71	54506	53485	95.65
1939.SKBTI.0563	24860	23599	94.93	23517	22831	91.84
1939.SKBTI.0564	9039	8864	98.06	8857	8350	92.38
1939.SKBTI.0565	9109	8915	97.87	8893	8656	95.03
1939.SKBTI.0566	10231	9922	96.98	9902	9691	94.72
1939.SKBTI.0567	90579	88712	97.94	88580	83096	91.74
1939.SKBTI.0568	40593	40049	98.66	39732	38807	95.6
1939.SKBTI.0569	7591	7398	97.46	7386	7349	96.81
1939.SKBTI.0570	10929	10675	97.68	10648	10586	96.86
1939.SKBTI.0571	6988	6860	98.17	6844	6518	93.27
1939.SKBTI.0572	14392	14140	98.25	14110	12879	89.49
1939.SKBTI.0573	18383	17993	97.88	17969	17695	96.26
1939.SKBTI.0574	9218	8975	97.36	8951	8681	94.17
1939.SKBTI.0575	7769	7524	96.85	7521	7413	95.42
1939.SKBTI.0576	10219	9997	97.83	9980	9621	94.15
1939.SKBTI.0577	10558	10244	97.03	10209	9771	92.55
1939.SKBTI.0578	11151	10917	97.9	10889	10664	95.63
1939.SKBTI.0579	13820	13363	96.69	13335	13190	95.44
1939.SKBTI.0580	15551	15274	98.22	15245	15057	96.82
1939.SKBTI.0581	6945	6736	96.99	6713	6594	94.95
1939.SKBTI.0583	29859	29417	98.52	29324	27760	92.97
1939.SKBTI.0584	1523	1507	98.95	1503	1460	95.86
1939.SKBTI.0585	28431	27478	96.65	27454	26280	92.43
1939.SKBTI.0587	11396	11241	98.64	11221	11189	98.18
1939.SKBTI.0588	24348	23623	97.02	23600	23152	95.09
1939.SKBTI.0589	41372	40546	98	40504	39609	95.74
1939.SKBTI.0590	23282	23006	98.81	22971	22666	97.35
1939.SKBTI.0591	26078	25433	97.53	25404	24567	94.21
1939.SKBTI.0592	19645	19231	97.89	19167	16132	82.12
1939.SKBTI.0593	764	734	96.07	715	678	88.74
1939.SKBTI.0594	9101	8917	97.98	8875	8865	97.41
1939.SKBTI.0595	5040	4466	88.61	4435	4259	84.5
1939.SKBTI.0596	30451	30108	98.87	30080	29929	98.29
1939.SKBTI.0597	10390	10149	97.68	10137	9767	94
1939.SKBTI.0598	6806	6571	96.55	6560	6350	93.3
1939.SKBTI.0599	71047	69558	97.9	69437	59180	83.3
1939.SKBTI.0600	30658	29666	96.76	29628	27247	88.87
1939.SKBTI.0601	13026	12757	97.93	12744	12727	97.7
1939.SKBTI.0603	71902	70465	98	70382	66929	93.08
1939.SKBTI.0604	7326	7181	98.02	7171	5338	72.86
1939.SKBTI.0605	19011	18549	97.57	18517	18481	97.21
1939.SKBTI.0606	5467	5349	97.84	5335	5299	96.93
1939.SKBTI.0607	11299	10995	97.31	10978	10155	89.88
1939.SKBTI.0608	3351	3272	97.64	3261	3257	97.19
1939.SKBTI.0609	5087	4985	97.99	4969	4868	95.69
1939.SKBTI.0610	16110	15806	98.11	15778	15430	95.78
1939.SKBTI.0611	35784	35057	97.97	34976	32773	91.59
1939.SKBTI.0613	62619	61443	98.12	61379	58482	93.39
1939.SKBTI.0614	32237	31826	98.73	31791	30879	95.79
1939.SKBTI.0615	69284	67753	97.79	67686	65875	95.08
1939.SKBTI.0617	6574	6390	97.2	6371	6055	92.11
1939.SKBTI.0618	1699	1660	97.7	1649	1529	89.99
1939.SKBTI.0619	22054	21695	98.37	21670	19671	89.19
1939.SKBTI.0620	18907	18440	97.53	18412	17890	94.62
1939.SKBTI.0621	16907	16707	98.82	16673	16362	96.78
1939.SKBTI.0622	5419	5253	96.94	5212	4335	80
1939.SKBTI.0623	70250	68093	96.93	67897	63211	89.98
1939.SKBTI.0624	7768	7601	97.85	7550	7365	94.81
1939.SKBTI.0626	33754	32802	97.18	32748	31919	94.56
1939.SKBTI.0627	6590	6423	97.47	6351	5729	86.93
1939.SKBTI.0629	10424	10080	96.7	10023	9283	89.05
1939.SKBTI.0630	41938	41059	97.9	40991	40501	96.57
1939.SKBTI.0631	9528	9286	97.46	9267	9045	94.93
1939.SKBTI.0632	5737	5611	97.8	5599	5509	96.03
1939.SKBTI.0633	81164	79377	97.8	79119	74205	91.43
1939.SKBTI.0634	19235	18782	97.64	18758	18588	96.64
1939.SKBTI.0635	11093	10860	97.9	10753	10156	91.55
1939.SKBTI.0636	51492	50689	98.44	50631	47260	91.78
1939.SKBTI.0637	62822	60580	96.43	60469	59265	94.34
1939.SKBTI.0638	24544	24220	98.68	24186	22319	90.93
1939.SKBTI.0640	51325	50351	98.1	50245	47774	93.08
1939.SKBTI.0641.a	2852	2764	96.91	2750	2633	92.32
1939.SKBTI.0641.b	4041	3665	90.7	3643	3438	85.08
1939.SKBTI.0642	10213	10050	98.4	10036	9923	97.16
1939.SKBTI.0643	51126	49939	97.68	49888	41722	81.61
1939.SKBTI.0645	72695	70726	97.29	70623	65853	90.59
1939.SKBTI.0646	7185	7000	97.43	6986	6159	85.72
1939.SKBTI.0647	9890	9689	97.97	9675	9440	95.45
1939.SKBTI.0648	40885	39462	96.52	39384	38380	93.87
1939.SKBTI.0650	86474	84774	98.03	84681	82567	95.48
1939.SKBTI.0651	12729	12423	97.6	12402	12182	95.7
1939.SKBTI.0652	42645	40285	94.47	40199	39763	93.24
1939.SKBTI.0653	15763	15227	96.6	15196	13447	85.31
1939.SKBTI.0654	34703	33949	97.83	33918	33057	95.26
