species_tax_id,superkingdom,phylum,class,order,family,genus,species,motility,metabolism,cell_shape,substrate,pathways
28038,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,curvatus,NA,facultative anaerobic,bacillus,NA,NA
89059,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidipiscis,yes,facultative anaerobic,NA,"fructose, galactose, glucose, mannose, ribose",NA
1579,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, salicin, sucrose, trehalose",NA
83683,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,amylolyticus,yes,microaerophilic,NA,"dextrin, fructose, galactose, glucose, maltose, mannose, melibiose, raffinose, salicin, sucrose",esculin_aesculin_hydrolysis
1604,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, glucose, maltose, mannose, salicin, starch, sucrose, trehalose",NA
227943,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,antri,yes,facultative anaerobic,NA,"arabinose, arabitol, fructose, galactose, gluconate, glucose, maltose, mannitol, melibiose, raffinose, ribose, sucrose",esculin_aesculin_hydrolysis
1580,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,brevis,NA,facultative anaerobic,NA,"arabinose, maltose, melibiose, ribose",ammonia_synthesis
1581,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,buchneri,yes,facultative anaerobic,NA,"arabinose, maltose, melibiose, ribose",ammonia_synthesis
1582,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,casei,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, gluconate, glucose, lactose, maltose, mannitol, mannose, ribose, sorbitol, sucrose, trehalose",NA
181675,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,coleohominis,NA,facultative anaerobic,NA,"glucose, maltose, ribose","acid_phosphatase, beta_galactosidase"
47770,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,crispatus,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, glucose, glycogen, lactose, maltose, mannose, raffinose, salicin, starch, sucrose, yeast_extract",esculin_aesculin_hydrolysis
28038,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,curvatus,no,facultative anaerobic,bacillus,"cellobiose, ribose, sucrose",catalase
1584,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,yes,facultative anaerobic,NA,"maltose, mannose, sucrose, trehalose",ammonia_synthesis
1612,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,farciminis,yes,facultative anaerobic,NA,"cellobiose, galactose, lactose, maltose, mannose, salicin, sucrose, trehalose",NA
1613,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,fermentum,yes,facultative anaerobic,NA,"arabinose, arginine, cellobiose, galactose, maltose, mannose, melibiose, raffinose, ribose, sucrose",ammonia_synthesis
88164,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,fornicalis,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, gluconate, glucose, maltose, mannitol, mannose, ribose, salicin, sorbitol, sucrose, trehalose",esculin_aesculin_hydrolysis
1596,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,gasseri,NA,facultative anaerobic,NA,"cellobiose, galactose, lactose, maltose, mannose, melibiose, raffinose, salicin, starch, sucrose, trehalose",NA
227942,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,gastricus,yes,facultative anaerobic,NA,"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N_acetylglucosamine, raffinose, ribose, salicin, sucrose, trehalose",NA
1587,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,helveticus,yes,facultative anaerobic,NA,"galactose, lactose, maltose, mannose, trehalose",NA
1588,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,hilgardii,yes,facultative anaerobic,NA,"fructose, galactose, maltose, ribose, sucrose, xylose",ammonia_synthesis
1193095,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,hokkaidonensis,yes,facultative anaerobic,NA,"gluconate, glucose, maltose, N_acetylglucosamine, ribose, xylose",NA
147802,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,iners,yes,facultative anaerobic,NA,"glucose, maltose",NA
